result_date,data_name,hybrid_model,shot,run_count,best_la_auc,hybrid_only_la_auc,best_la_aupc,hybrid_only_la_auprc,best_la_f1,hybrid_only_la_f1
2026-03-19,breakfast,promptad,1,10,0.8278171509567682,0.7469170800850461,0.8130719776904487,0.7427172334835266,0.850149420406612,0.7879450541914615
2026-03-19,breakfast,promptad,5,10,0.9039983463264823,0.7345854004252304,0.9034988239715769,0.7194218763460438,0.8811240625563055,0.7948080381353247
2026-03-19,breakfast,winclip,1,10,0.8226671391448146,0.6618178596739901,0.820881833104948,0.6602238591161491,0.8388265599626908,0.7629591074681012
2026-03-19,breakfast,winclip,5,10,0.8687573824710608,0.6669147176943067,0.8675169523590334,0.6688558886629188,0.8544048047866383,0.7631334236140145
2026-03-19,blue_splicing,promptad,1,10,0.7229166666666667,0.6852083333333333,0.7670880631641279,0.6964973736730016,0.8012949942144978,0.7970269799877631
2026-03-19,blue_splicing,promptad,5,10,0.7683333333333333,0.702875,0.7994937508592901,0.7113615988535639,0.8206945628068281,0.7976270491851042
2026-03-19,blue_splicing,winclip,1,10,0.7150000000000001,0.6559999999999999,0.7621231514818548,0.7072340228800956,0.8030377369187665,0.7787017412886368
2026-03-19,blue_splicing,winclip,5,10,0.7525000000000001,0.6729166666666667,0.7890242865595611,0.723683397134949,0.8220403816802522,0.7851164192390648
2026-03-19,red_splicing,promptad,1,10,0.7723469387755102,0.8143877551020408,0.6985886314535696,0.7257845557757777,0.7537527356325715,0.7926007430314996
2026-03-19,red_splicing,promptad,5,10,0.8059183673469388,0.7763265306122449,0.7319167112236677,0.6343103853858855,0.7843185002606589,0.7886988224631548
2026-03-19,red_splicing,winclip,1,10,0.7408673469387754,0.6201530612244899,0.6535067874686947,0.5108823131764091,0.7415049226750536,0.6775163258510587
2026-03-19,red_splicing,winclip,5,10,0.7809183673469388,0.6612755102040817,0.7086665865513446,0.5412950152355596,0.763335372069871,0.6848411176402139
2026-03-19,yellow_splicing,promptad,1,10,0.6847922192749779,0.7480106100795756,0.7371871139072925,0.7705379977915778,0.7915108699712201,0.80923543991934
2026-03-19,yellow_splicing,promptad,5,10,0.7117595048629533,0.7429708222811671,0.758886193492015,0.7640007503080203,0.8074041123179072,0.8069203827471305
2026-03-19,yellow_splicing,winclip,1,10,0.6445181255526083,0.5953138815207781,0.721170210270316,0.7359620460701588,0.7698717466803807,0.7355866748310762
2026-03-19,yellow_splicing,winclip,5,10,0.6869142351900972,0.6285587975243148,0.758951078511808,0.7557179510909211,0.7889621018868972,0.7446736055535209
2026-03-29,capsule,promptad,1,5,0.7624505928853755,0.7638339920948617,0.7854354787020098,0.7933014209992999,0.7939099493228072,0.7858266253365184
2026-03-29,capsule,promptad,5,5,0.8569169960474309,0.8110671936758893,0.8696960618065452,0.8469907300423867,0.8442195597116695,0.7934655579901784
2026-03-29,capsule,winclip,1,10,0.7948616600790513,0.6802371541501977,0.8536961229352711,0.7143255835600585,0.7950499228653994,0.7297000033306096
2026-03-29,capsule,winclip,5,5,0.7237154150197629,0.6853754940711462,0.8117683343490762,0.7417476574610126,0.7339263015201671,0.7223218482704205
2026-03-29,cable,promptad,1,5,0.8007662835249041,0.8373563218390805,0.8172999788177607,0.8242067405210907,0.815119965427807,0.8453283155936159
2026-03-29,cable,promptad,5,5,0.8157854406130269,0.8587739463601534,0.8357230431182584,0.8732504608635608,0.8166852241726795,0.8372678680635252
2026-03-29,cable,winclip,1,10,0.8238697318007663,0.8084674329501915,0.8342872748665334,0.8386299486531179,0.836365754028941,0.8101238808591067
